nos,customer_category,application_no,channel_code,marketing_program_code,gender_desc,marital_code,flag_contactless,rcc_billing,flag_on_us
306963090,COR,SB1000024805,0,0,Female,MAR,NOT CONTACTLESS,SURABAYA,ON US
-1757982622,BCO,HQ1200357253,0,E,Female,MAR,NOT CONTACTLESS,SURABAYA,ON US
-667912592,BCO,C21090801094,0,0,Male,MAR,NOT CONTACTLESS,JAKARTA 4,ON US
2051154949,BCO,C23071002373,0,0,Male,MAR,NOT CONTACTLESS,BANDUNG,ON US
948459612,WMG,C20031900840,0,0,Female,MAR,NOT CONTACTLESS,JAKARTA 3,ON US
-49196051,WMG,C23073102142,0,0,Male,MAR,CONTACTLESS,SURABAYA,ON US
-883812209,PTR,LF1175917250,I,E,Male,MAR,NOT CONTACTLESS,PALEMBANG,ON US
-1044109891,BCO,C20031901784,0,0,Female,SIN,NOT CONTACTLESS,JAKARTA 4,ON US
-861261778,BCO,C22082902776,0,0,Male,MAR,NOT CONTACTLESS,SURABAYA,ON US
-1061592386,BCO,C22121302148,0,0,Male,SIN,NOT CONTACTLESS,BANDUNG,ON US
2070397794,NOR,C22030400030,0,0,Male,MAR,NOT CONTACTLESS,MEDAN,ON US
154477060,NOR,C23122171027,0,0,Female,MAR,NOT CONTACTLESS,MEDAN,ON US
-1899469852,BCO,,0,0,Female,SIN,NOT CONTACTLESS,MAKASSAR,ON US
626340357,NOR,LF1165693651,B,B,Female,SIN,NOT CONTACTLESS,JAKARTA 4,ON US
1638540434,NOR,HQ0600083977,0,0,Female,MAR,NOT CONTACTLESS,JAKARTA 5,ON US
832160529,COR,PB1000034012,0,0,Male,MAR,NOT CONTACTLESS,JAKARTA 4,ON US
-963356044,BCO,BD1200013314,B,S,Male,MAR,NOT CONTACTLESS,BANDUNG,ON US
-285194704,BCO,BP1300024922,B,B,Male,MAR,NOT CONTACTLESS,BALIKPAPAN,ON US
-446678803,BCO,HQ1100263737,0,V,Male,MAR,NOT CONTACTLESS,JAKARTA 4,ON US
-1531832349,NOR,LF1175024025,B,B,Male,MAR,NOT CONTACTLESS,JAKARTA 5,ON US
-841937295,NOR,SM1300009776,B,G,Male,MAR,NOT CONTACTLESS,SEMARANG,ON US
1925204724,BCO,C23110303087,0,0,Male,SIN,CONTACTLESS,MEDAN,ON US
1731484533,WMG,C19041002368,0,0,Female,MAR,NOT CONTACTLESS,JAKARTA 5,ON US
-483352348,NOR,LF1175247804,B,B,Male,MAR,NOT CONTACTLESS,JAKARTA 3,ON US
475107301,NOR,LF1140326637,0,Z,Male,MAR,NOT CONTACTLESS,JAKARTA 4,ON US
459350208,NOR,LF1175413585,B,F,Male,MAR,NOT CONTACTLESS,JAKARTA 3,ON US
-128510002,NOR,SM0700023848,0,0,Male,MAR,NOT CONTACTLESS,SEMARANG,ON US
1518913904,BCO,C21093000210,0,0,Male,MAR,NOT CONTACTLESS,BALIKPAPAN,ON US
1951087058,BCO,C23022100486,0,0,Male,SIN,NOT CONTACTLESS,MEDAN,ON US
208980112,NOR,LF1140560676,I,E,Male,MAR,NOT CONTACTLESS,JAKARTA 3,ON US
-1015699923,NOR,C19103102163,0,0,Male,MAR,CONTACTLESS,MEDAN,ON US
-477524526,NOR,,0,0,Female,MAR,CONTACTLESS,JAKARTA 4,ON US
1537417759,NOR,,0,0,Male,MAR,CONTACTLESS,SURABAYA,ON US
1676962773,BCO,,0,0,Male,MAR,CONTACTLESS,JAKARTA 3,ON US
-757862412,NOR,C19020602379,0,0,Female,MAR,CONTACTLESS,JAKARTA 3,ON US
-1049434482,NOR,C18091401105,0,0,Female,MAR,NOT CONTACTLESS,JAKARTA 4,ON US
1554075522,NOR,C21122301906,0,0,Female,MAR,NOT CONTACTLESS,BANDUNG,ON US
-1587803244,BCO,C23020801247,0,0,Male,MAR,NOT CONTACTLESS,JAKARTA 5,ON US
1086542739,NOR,BD0800009699,0,0,Female,SIN,NOT CONTACTLESS,BANDUNG,ON US
135668260,NOR,LF1120057080,F,V,Male,MAR,NOT CONTACTLESS,BALIKPAPAN,ON US
-1918482244,NOR,LF1140268186,0,Z,Female,MAR,NOT CONTACTLESS,SURABAYA,ON US
1334174915,NOR,BD0800009917,0,0,Male,MAR,NOT CONTACTLESS,BANDUNG,ON US
63693235,NOR,LF1130041019,I,E,Male,SIN,NOT CONTACTLESS,SURABAYA,ON US
-239632624,NOR,LF1150403568,0,B,Male,SIN,NOT CONTACTLESS,JAKARTA 5,ON US
-1351013650,NOR,C23112102041,0,0,Male,SIN,NOT CONTACTLESS,PALEMBANG,ON US
956725437,NOR,C23030902834,0,0,Female,MAR,NOT CONTACTLESS,MEDAN,ON US
1900669820,NOR,HQ0800037033,0,0,Female,SIN,NOT CONTACTLESS,JAKARTA 4,ON US
-1139912523,NOR,LF1140071822,0,Z,Male,MAR,NOT CONTACTLESS,JAKARTA 5,ON US
-1793522770,BCO,MD1400032248,B,Z,Female,MAR,NOT CONTACTLESS,MEDAN,ON US
1553629076,BCO,C19020800414,0,0,Female,MAR,NOT CONTACTLESS,JAKARTA 4,ON US
-1284209790,BCO,C19052804112,0,0,Female,SIN,NOT CONTACTLESS,BANDUNG,ON US
-1802221854,NOR,LF1140447723,0,Z,Female,MAR,NOT CONTACTLESS,SURABAYA,ON US
-1623341746,BCO,C21090200190,0,0,Male,SIN,NOT CONTACTLESS,SURABAYA,ON US
-1861824412,PTR,LF1175168723,0,E,Male,SIN,NOT CONTACTLESS,BANDUNG,ON US
2116912766,NOR,C18070401009,0,0,Female,MAR,NOT CONTACTLESS,JAKARTA 3,ON US
-1289207115,BCO,C20022200517,0,0,Male,MAR,NOT CONTACTLESS,SURABAYA,ON US
-2004336863,STF,C23112400530,0,0,Female,MAR,NOT CONTACTLESS,BANDUNG,ON US
-263631984,NOR,C23040700166,0,0,Male,SIN,NOT CONTACTLESS,BANDUNG,ON US
-520717439,NOR,C23110301731,0,0,Female,MAR,NOT CONTACTLESS,MAKASSAR,ON US
-1208269677,NOR,C19070201815,0,0,Female,MAR,NOT CONTACTLESS,BANDUNG,ON US
-914532846,BCO,C23071700136,0,0,Male,SIN,NOT CONTACTLESS,JAKARTA 5,ON US
-1344937469,NOR,MK0800002488,0,0,Female,SIN,NOT CONTACTLESS,MAKASSAR,ON US
-294054523,CLS,,0,0,Female,MAR,NOT CONTACTLESS,JAKARTA 3,ON US
2082305061,NOR,SM0900018827,0,0,Female,MAR,NOT CONTACTLESS,SEMARANG,ON US
192815294,NOR,LF2150017686,0,B,Male,MAR,NOT CONTACTLESS,PALEMBANG,ON US
-1678784763,NOR,LF1150195845,B,B,Female,MAR,NOT CONTACTLESS,SURABAYA,ON US
-1785449841,NOR,HQ0800002434,0,0,Female,SIN,NOT CONTACTLESS,JAKARTA 5,ON US
583707612,BCO,LF1130140286,B,G,Female,MAR,NOT CONTACTLESS,JAKARTA 4,ON US
585204910,NOR,HQ0600112625,0,0,Male,MAR,NOT CONTACTLESS,SURABAYA,ON US
-78388755,NOR,HQ1100118353,F,V,Male,MAR,NOT CONTACTLESS,JAKARTA 3,ON US
-888730092,CLS,HQ1200297401,0,E,Male,MAR,NOT CONTACTLESS,JAKARTA 4,ON US
1507945797,NOR,,0,0,Male,MAR,NOT CONTACTLESS,PALEMBANG,ON US
2039482389,NOR,LF1175467575,B,B,Male,MAR,NOT CONTACTLESS,JAKARTA 3,ON US
-965363389,GVT,LF1175931185,B,B,Male,MAR,NOT CONTACTLESS,JAKARTA 4,ON US
-2001351459,BCO,LF1175953214,0,B,Male,MAR,NOT CONTACTLESS,BANDUNG,ON US
-1670344204,NOR,LF1120102049,0,G,Male,MAR,NOT CONTACTLESS,JAKARTA 5,ON US
-845379790,NOR,BP1300019852,B,B,Male,MAR,NOT CONTACTLESS,BANDUNG,ON US
1860332765,NOR,,0,0,Male,MAR,NOT CONTACTLESS,JAKARTA 5,ON US
-1732882180,NOR,LF1155332774,0,0,Female,MAR,NOT CONTACTLESS,JAKARTA 4,ON US
-1394959827,BCO,,0,0,Female,MAR,NOT CONTACTLESS,JAKARTA 3,ON US
1067324527,NOR,C19012103145,0,0,Male,MAR,CONTACTLESS,JAKARTA 4,ON US
1417904876,WMG,,0,0,Female,MAR,NOT CONTACTLESS,JAKARTA 5,ON US
336613234,NOR,,0,0,Male,SIN,NOT CONTACTLESS,SEMARANG,ON US
-680214703,BCO,C22062801219,0,0,Male,MAR,NOT CONTACTLESS,SURABAYA,ON US
1107259939,VIP,C22093001461,0,0,Male,MAR,NOT CONTACTLESS,JAKARTA 4,ON US
-340335056,BCO,C22111001140,0,0,Male,MAR,NOT CONTACTLESS,JAKARTA 3,ON US
-271097171,BCO,C23082401088,0,0,Male,MAR,NOT CONTACTLESS,JAKARTA 5,ON US
2068190386,NOR,LF1175882529,B,B,Male,MAR,NOT CONTACTLESS,JAKARTA 4,ON US
-674569538,NOR,C21091501421,0,0,Male,MAR,NOT CONTACTLESS,SEMARANG,ON US
1242683907,NOR,C21092500607,0,0,Male,MAR,NOT CONTACTLESS,MAKASSAR,ON US
-1050359824,NOR,C23102800677,0,0,Male,MAR,NOT CONTACTLESS,SURABAYA,ON US
1875830175,BCO,HQ0800093547,0,0,Female,MAR,NOT CONTACTLESS,JAKARTA 3,ON US
1420975053,NOR,C22102703210,0,0,Female,MAR,NOT CONTACTLESS,BALIKPAPAN,ON US
-1632214208,NOR,,0,0,Male,MAR,NOT CONTACTLESS,SURABAYA,ON US
-759539677,BCO,C19122300895,0,0,Male,SIN,CONTACTLESS,JAKARTA 3,ON US
1332742877,BCO,C21062901977,0,0,Female,SIN,CONTACTLESS,JAKARTA 4,ON US
123760068,BCO,SB0800033523,0,0,Male,MAR,CONTACTLESS,SURABAYA,ON US
-2102319650,NOR,C23060600166,0,0,Male,SIN,CONTACTLESS,JAKARTA 3,ON US
188450351,NOR,LF1150252731,0,B,Male,MAR,CONTACTLESS,JAKARTA 4,ON US
-1576734417,NOR,C23072403204,0,0,Male,MAR,NOT CONTACTLESS,MEDAN,ON US
-903889506,NOR,C18083000942,0,0,Male,MAR,CONTACTLESS,JAKARTA 3,ON US
-597307171,NOR,C19062700829,0,0,Male,MAR,CONTACTLESS,PALEMBANG,ON US
-714677475,NOR,HQ0900075822,0,0,Female,MAR,NOT CONTACTLESS,JAKARTA 3,ON US
1863145557,NOR,LF1150068946,B,Z,Male,MAR,NOT CONTACTLESS,JAKARTA 5,ON US
-439232740,NOR,PB1100036545,F,V,Female,MAR,NOT CONTACTLESS,PALEMBANG,ON US
1427115794,NOR,HQ0800017602,0,0,Male,MAR,NOT CONTACTLESS,JAKARTA 5,ON US
-513694479,NOR,BD1200064469,M,H,Male,MAR,NOT CONTACTLESS,JAKARTA 5,ON US
-1964450687,NOR,C23101300966,0,0,Male,MAR,NOT CONTACTLESS,JAKARTA 4,ON US
2025697644,NOR,LF1140445545,B,Z,Male,SIN,NOT CONTACTLESS,JAKARTA 5,ON US
51625872,NOR,C18110500892,0,0,Male,MAR,NOT CONTACTLESS,JAKARTA 4,ON US
-1265661780,NOR,LF1140167133,0,Z,Male,SIN,NOT CONTACTLESS,SEMARANG,ON US
1631383694,BCO,C21110202180,0,0,Female,SIN,NOT CONTACTLESS,JAKARTA 5,ON US
-1788869531,NOR,LF1140132127,0,Z,Female,CNV,NOT CONTACTLESS,JAKARTA 4,ON US
-2071316764,NOR,LF1150346440,0,B,Male,MAR,NOT CONTACTLESS,MEDAN,ON US
-1965349967,NOR,C19080702691,0,0,Female,MAR,NOT CONTACTLESS,JAKARTA 3,ON US
-1486494976,BCO,C19030600049,0,0,Male,MAR,NOT CONTACTLESS,SEMARANG,ON US
991110351,BCO,C20010901607,0,0,Male,SIN,NOT CONTACTLESS,JAKARTA 4,ON US
534413090,NOR,LF1150824129,F,Y,Male,MAR,NOT CONTACTLESS,MEDAN,ON US
-1823877644,BCO,C19052903466,0,0,Male,SIN,NOT CONTACTLESS,JAKARTA 3,ON US
-1602197468,BCO,C19112901373,0,0,Female,MAR,NOT CONTACTLESS,SURABAYA,ON US
101282884,NOR,C22081903508,0,0,Male,SIN,NOT CONTACTLESS,SURABAYA,ON US
-1441589793,WMG,C22082502020,0,0,Female,MAR,NOT CONTACTLESS,SEMARANG,ON US
-1510257393,NOR,C23102500089,0,0,Female,MAR,NOT CONTACTLESS,JAKARTA 4,ON US
1780490064,NOR,C23110400322,0,0,Female,MAR,NOT CONTACTLESS,MEDAN,ON US
-754632797,NOR,HQ0700198165,0,0,Female,SIN,NOT CONTACTLESS,JAKARTA 5,ON US
-837929824,BCO,,0,0,Female,SIN,NOT CONTACTLESS,DENPASAR,ON US
1976643134,NOR,HQ0800041501,0,0,Female,MAR,NOT CONTACTLESS,SURABAYA,ON US
-1746721777,PTR,HQ1400001810,I,E,Female,SIN,NOT CONTACTLESS,JAKARTA 5,ON US
-584989826,NOR,LF1140242555,0,Z,Male,MAR,NOT CONTACTLESS,JAKARTA 3,ON US
1792264672,NOR,LF1140255925,0,Z,Male,MAR,NOT CONTACTLESS,SEMARANG,ON US
29855298,NOR,LF1175462351,B,B,Male,SIN,NOT CONTACTLESS,SURABAYA,ON US
-321721364,NOR,LF1175694894,B,F,Male,SIN,NOT CONTACTLESS,BANDUNG,ON US
1852259886,BCO,C21082701016,0,0,Female,SIN,CONTACTLESS,JAKARTA 4,ON US
-93762379,NOR,LF1165380550,0,0,Male,SIN,NOT CONTACTLESS,BANDUNG,ON US
-1917282623,NOR,LF1120050103,F,V,Male,SIN,NOT CONTACTLESS,MEDAN,ON US
-1793882819,BCO,C19122303147,0,0,Female,MAR,NOT CONTACTLESS,DENPASAR,ON US
624534526,VIP,C21042700004,0,0,Female,DIV,NOT CONTACTLESS,JAKARTA 5,ON US
2034900352,BCO,C21030500456,0,0,Male,SIN,NOT CONTACTLESS,JAKARTA 5,ON US
-2094711857,BCO,HQ1200265391,0,G,Male,MAR,NOT CONTACTLESS,JAKARTA 5,ON US
-161164530,WMG,C19071000780,0,0,Male,MAR,NOT CONTACTLESS,JAKARTA 5,ON US
75163235,BCO,BD1300010531,B,S,Male,MAR,NOT CONTACTLESS,BANDUNG,ON US
60544708,BCO,C21092100471,0,0,Male,MAR,NOT CONTACTLESS,SURABAYA,ON US
1264845585,BCO,C22111700692,0,0,Female,MAR,NOT CONTACTLESS,JAKARTA 4,ON US
-813249649,NOR,C23100403165,0,0,Male,MAR,NOT CONTACTLESS,JAKARTA 3,ON US
-1971131504,NOR,BD1200061323,B,G,Male,MAR,NOT CONTACTLESS,BANDUNG,ON US
1433742765,VIP,,0,0,Female,MAR,NOT CONTACTLESS,JAKARTA 5,ON US
-59226095,FFL,HQ1100340538,F,V,Female,MAR,NOT CONTACTLESS,JAKARTA 5,ON US
1981269939,NOR,HQ1200295148,0,V,Female,MAR,NOT CONTACTLESS,JAKARTA 4,ON US
1487234499,NOR,C23083102934,0,0,Female,MAR,NOT CONTACTLESS,JAKARTA 5,ON US
-1191280929,NOR,C23101400909,0,0,Male,SIN,NOT CONTACTLESS,JAKARTA 3,ON US
-47554700,BCO,PB1000025244,0,0,Male,MAR,CONTACTLESS,PALEMBANG,ON US
-47554700,BCO,PB1000025244,0,0,Male,MAR,CONTACTLESS,PALEMBANG,ON US
1036352145,NOR,C21102101303,0,0,Male,SIN,CONTACTLESS,JAKARTA 3,ON US
-118024205,BCO,C22112101477,0,0,Male,MAR,CONTACTLESS,SEMARANG,ON US
-1451453662,BCO,C23040501998,0,0,Male,MAR,CONTACTLESS,JAKARTA 5,ON US
352314444,BCO,C23042601424,0,0,Female,MAR,CONTACTLESS,BALIKPAPAN,ON US
2079953229,NOR,LF1140179823,0,Z,Female,MAR,CONTACTLESS,SEMARANG,ON US
196355540,NOR,C23082102340,0,0,Female,SIN,NOT CONTACTLESS,JAKARTA 5,ON US
2010914467,NOR,C23103002145,0,0,Female,MAR,NOT CONTACTLESS,SURABAYA,ON US
-721704063,NOR,LF2150014122,B,B,Male,SIN,CONTACTLESS,JAKARTA 5,ON US
-726191457,NOR,HQ0900270999,0,0,Female,MAR,CONTACTLESS,JAKARTA 5,ON US
-486250098,NOR,MK1300019366,B,S,Female,MAR,NOT CONTACTLESS,MAKASSAR,ON US
-41820692,BCO,C18082001274,0,0,Male,SIN,NOT CONTACTLESS,BANDUNG,ON US
1612120437,NOR,SM1200043508,F,V,Female,SIN,NOT CONTACTLESS,SEMARANG,ON US
-431070065,NOR,SM1000005492,0,0,Male,MAR,NOT CONTACTLESS,SEMARANG,ON US
-308954596,BCO,C22041901268,0,0,Male,SIN,NOT CONTACTLESS,PALEMBANG,ON US
82582831,NOR,C22122802351,0,0,Female,MAR,NOT CONTACTLESS,BANDUNG,ON US
-1351657300,NOR,LF1120043101,M,H,Female,MAR,NOT CONTACTLESS,SURABAYA,ON US
-2096756912,NOR,BD1200047726,M,H,Male,MAR,NOT CONTACTLESS,BANDUNG,ON US
-1570128798,NOR,C23082803633,0,0,Male,MAR,NOT CONTACTLESS,SURABAYA,ON US
-1618942342,NOR,HQ0700196992,0,0,Female,MAR,NOT CONTACTLESS,SURABAYA,ON US
1218131250,PTR,LF1175524284,0,Y,Female,SIN,NOT CONTACTLESS,JAKARTA 4,ON US
635704532,BCO,LF1175746352,B,B,Female,MAR,NOT CONTACTLESS,JAKARTA 3,ON US
1139375300,NOR,C19011803393,0,0,Male,SIN,NOT CONTACTLESS,SEMARANG,ON US
-2122372318,BCO,C19031300388,0,0,Male,MAR,NOT CONTACTLESS,JAKARTA 3,ON US
1787262813,BCO,SM1100031722,B,S,Male,MAR,NOT CONTACTLESS,SEMARANG,ON US
437570062,BCO,C22092701844,0,0,Female,MAR,NOT CONTACTLESS,JAKARTA 4,ON US
145534721,CLS,C23082800255,0,0,Female,MAR,NOT CONTACTLESS,JAKARTA 4,ON US
1726422348,NOR,MK1000018832,0,0,Female,SIN,NOT CONTACTLESS,MAKASSAR,ON US
666387729,NOR,HQ1000057607,0,0,Male,MAR,NOT CONTACTLESS,JAKARTA 5,ON US
17357501,NOR,BD0700032857,0,0,Female,MAR,NOT CONTACTLESS,BANDUNG,ON US
-1912069471,NOR,HQ0900044849,0,0,Male,MAR,NOT CONTACTLESS,MEDAN,ON US
-1555087468,CLS,SB0700048522,0,0,Female,MAR,NOT CONTACTLESS,SURABAYA,ON US
-2085109502,NOR,SM1300009680,B,G,Male,MAR,NOT CONTACTLESS,SEMARANG,ON US
1923522532,BCO,LF1130032314,0,G,Female,MAR,NOT CONTACTLESS,JAKARTA 3,ON US
1780139314,NOR,LF1140394924,0,Y,Female,MAR,NOT CONTACTLESS,JAKARTA 3,ON US
536582389,BCO,BP1300009204,B,B,Male,MAR,NOT CONTACTLESS,BANDUNG,ON US
1794285790,BCO,C23050502965,0,0,Male,MAR,CONTACTLESS,JAKARTA 5,ON US
-1353826861,BCO,,0,0,Male,MAR,NOT CONTACTLESS,BALIKPAPAN,ON US
-242889821,WMG,,0,0,Male,MAR,NOT CONTACTLESS,BALIKPAPAN,ON US
516369903,VIP,C19112202647,0,0,Male,MAR,NOT CONTACTLESS,JAKARTA 5,ON US
-389012588,BCO,C21120301373,0,0,Female,MAR,NOT CONTACTLESS,JAKARTA 3,ON US
-36251887,NOR,C22062702836,0,0,Male,MAR,NOT CONTACTLESS,JAKARTA 5,ON US
-1339522803,NOR,HQ0700005395,0,0,Female,MAR,NOT CONTACTLESS,JAKARTA 3,ON US
1845906612,NOR,C22082203522,0,0,Male,MAR,NOT CONTACTLESS,SEMARANG,ON US
-1077159499,NOR,C23072400379,0,0,Male,SIN,NOT CONTACTLESS,JAKARTA 5,ON US
-1751255084,WMG,C23082900169,0,0,Female,SIN,NOT CONTACTLESS,SURABAYA,ON US
730067404,NOR,C21091303422,0,0,Female,MAR,NOT CONTACTLESS,JAKARTA 4,ON US
-1387463344,BCO,C22042000854,0,0,Male,MAR,NOT CONTACTLESS,JAKARTA 3,ON US
-1535397121,BCO,C23020100860,0,0,Male,MAR,NOT CONTACTLESS,MAKASSAR,ON US
-1799214412,VIP,C19082900801,0,0,Male,MAR,NOT CONTACTLESS,SURABAYA,ON US
702785438,BCO,C19112702036,0,0,Male,SIN,NOT CONTACTLESS,JAKARTA 5,ON US
393837644,BCO,LF1175937251,B,Y,Male,MAR,NOT CONTACTLESS,MEDAN,ON US
-724599999,VIP,LF1165778437,B,B,Female,MAR,NOT CONTACTLESS,JAKARTA 5,ON US
-1721589044,BCO,C19012203039,0,0,Male,MAR,CONTACTLESS,SURABAYA,ON US
285147649,BCO,C19091603849,0,0,Male,MAR,CONTACTLESS,SURABAYA,ON US
652785312,COR,C21072100850,0,0,Female,MAR,CONTACTLESS,JAKARTA 5,ON US
-301247442,NOR,C20022501898,0,0,Male,MAR,CONTACTLESS,BANDUNG,ON US
572490432,BCO,LF1150420580,0,B,Male,MAR,CONTACTLESS,BALIKPAPAN,ON US
1265712733,NOR,HQ1100191803,H,A,Female,MAR,CONTACTLESS,JAKARTA 5,ON US
-1679112417,BCO,C19052103577,0,0,Female,MAR,CONTACTLESS,SEMARANG,ON US
-921113392,STF,C21032900751,0,0,Female,MAR,NOT CONTACTLESS,JAKARTA 5,ON US
-810230542,STF,C23072502696,0,0,Male,SIN,NOT CONTACTLESS,JAKARTA 4,ON US
1670400066,STF,HQ0800180463,0,0,Female,MAR,CONTACTLESS,JAKARTA 4,ON US
1380427648,BCO,BP1300020125,B,B,Male,SIN,CONTACTLESS,BALIKPAPAN,ON US
-1522499,NOR,BD0700024708,0,0,Male,MAR,NOT CONTACTLESS,BANDUNG,ON US
-1065235116,NOR,MK0700018863,0,0,Male,MAR,NOT CONTACTLESS,MAKASSAR,ON US
1809630112,NOR,HQ0900115303,0,0,Female,SIN,NOT CONTACTLESS,JAKARTA 5,ON US
2088337820,BCO,HQ0800162873,0,0,Male,MAR,NOT CONTACTLESS,JAKARTA 4,ON US
-1233467259,NOR,HQ0900123064,0,0,Female,MAR,NOT CONTACTLESS,JAKARTA 5,ON US
704611196,NOR,,0,0,Male,MAR,NOT CONTACTLESS,JAKARTA 3,ON US
178339038,BCO,C21071200947,0,0,Male,SIN,NOT CONTACTLESS,JAKARTA 5,ON US
-2144080098,BCO,SB1300023935,0,V,Male,MAR,NOT CONTACTLESS,SURABAYA,ON US
-801617358,NOR,C23091600944,0,0,Female,SIN,NOT CONTACTLESS,JAKARTA 5,ON US
-556507889,NOR,C23121202332,0,0,Male,MAR,NOT CONTACTLESS,MEDAN,ON US
-428729964,BCO,HQ1200258000,0,S,Male,MAR,NOT CONTACTLESS,JAKARTA 4,ON US
-261294909,BCO,HQ1000419115,0,0,Female,SIN,NOT CONTACTLESS,JAKARTA 5,ON US
-31452411,BCO,C19053101462,0,0,Female,SIN,NOT CONTACTLESS,BANDUNG,ON US
-1037425277,BCO,C19091900826,0,0,Male,MAR,NOT CONTACTLESS,PALEMBANG,ON US
-346492812,BCO,C22010600805,0,0,Male,SIN,NOT CONTACTLESS,JAKARTA 4,ON US
-93045332,NOR,,0,0,Male,SIN,NOT CONTACTLESS,DENPASAR,ON US
1594260131,NOR,C19031200173,0,0,Male,SIN,NOT CONTACTLESS,SEMARANG,ON US
1445112531,NOR,C22120600453,0,0,Female,MAR,NOT CONTACTLESS,BANDUNG,ON US
1642393701,NOR,C23082202892,0,0,Male,MAR,NOT CONTACTLESS,SEMARANG,ON US
668225587,STF,C19032901020,0,0,Female,SIN,NOT CONTACTLESS,BALIKPAPAN,ON US
-913832740,BCO,C22122301349,0,0,Female,MAR,NOT CONTACTLESS,JAYAPURA,ON US
-416662243,NOR,C23112103964,0,0,Female,MAR,NOT CONTACTLESS,SURABAYA,ON US
1744194670,NOR,C23122070380,0,0,Male,MAR,NOT CONTACTLESS,MEDAN,ON US
-1907357234,STF,,0,0,Female,CNV,NOT CONTACTLESS,SURABAYA,ON US
-613472592,BCO,LF1165114915,0,0,Male,MAR,NOT CONTACTLESS,JAKARTA 4,ON US
1035192418,NOR,LF1140009931,0,I,Male,MAR,NOT CONTACTLESS,JAKARTA 3,ON US
-2113087987,NOR,LF1140515494,B,Z,Female,MAR,NOT CONTACTLESS,SEMARANG,ON US
-330172355,BCO,,0,0,Male,CNV,NOT CONTACTLESS,JAKARTA 4,ON US
-747529074,NOR,LF1175374856,0,B,Male,SIN,NOT CONTACTLESS,JAKARTA 5,ON US
-91832244,NOR,HQ1200231508,0,V,Male,MAR,NOT CONTACTLESS,JAKARTA 4,ON US
-336046092,NOR,LF1140420200,B,Z,Male,SIN,NOT CONTACTLESS,BANDUNG,ON US
-667194516,NOR,,0,0,Female,MAR,NOT CONTACTLESS,BANDUNG,ON US
-1192155120,NOR,,0,0,Male,MAR,NOT CONTACTLESS,SURABAYA,ON US
1784605410,BCO,C21052403181,0,0,Male,MAR,CONTACTLESS,JAKARTA 4,ON US
2137335236,NOR,LF1180260208,B,K,Female,MAR,NOT CONTACTLESS,SURABAYA,ON US
1636059823,VP5,C20020500216,0,0,Female,MAR,NOT CONTACTLESS,DENPASAR,ON US
-433822623,BCO,C19093003291,0,0,Male,MAR,NOT CONTACTLESS,JAKARTA 5,ON US
-769927440,BCO,C22122300059,0,0,Male,MAR,NOT CONTACTLESS,SURABAYA,ON US
2111354950,NOR,C21101102804,0,0,Male,MAR,NOT CONTACTLESS,JAKARTA 4,ON US
889704911,NOR,,0,0,Female,MAR,NOT CONTACTLESS,MEDAN,ON US
-999757935,BCO,C21112602972,0,0,Female,MAR,NOT CONTACTLESS,JAKARTA 3,ON US
1812533631,BCO,C22030700577,0,0,Male,SIN,NOT CONTACTLESS,JAKARTA 4,ON US
2094308494,NOR,SB1200054980,B,V,Male,MAR,NOT CONTACTLESS,SURABAYA,ON US
173695795,BCO,LF1140267404,0,G,Male,SIN,NOT CONTACTLESS,JAKARTA 3,ON US
306820069,NOR,,0,0,Male,SIN,NOT CONTACTLESS,JAKARTA 3,ON US
918685093,NOR,C22012900227,0,0,Male,MAR,NOT CONTACTLESS,MEDAN,ON US
1657130431,NOR,C23091601077,0,0,Female,MAR,NOT CONTACTLESS,JAKARTA 3,ON US
1845909907,BCO,LF1150701814,B,B,Male,MAR,NOT CONTACTLESS,SURABAYA,ON US
485407412,STF,C21022500416,0,0,Male,MAR,CONTACTLESS,PALEMBANG,ON US
746175536,BCO,C21052001333,0,0,Male,MAR,CONTACTLESS,JAKARTA 4,ON US
-214314066,NOR,C23020302664,0,0,Female,DIV,CONTACTLESS,JAKARTA 5,ON US
1069603060,NOR,C23030302562,0,0,Male,SIN,CONTACTLESS,JAKARTA 4,ON US
-312052588,BCO,C23090101108,0,0,Female,MAR,CONTACTLESS,JAKARTA 3,ON US
-1020725547,BCO,C23090700449,0,0,Male,MAR,CONTACTLESS,DENPASAR,ON US
2092359359,NOR,LF1165564792,0,B,Female,MAR,CONTACTLESS,JAKARTA 4,ON US
1580677647,BCO,LF1140507511,0,Z,Male,MAR,CONTACTLESS,JAKARTA 5,ON US
-1843027124,NOR,LF1120096251,0,Z,Male,MAR,CONTACTLESS,PALEMBANG,ON US
-1960104063,NOR,C23011701131,0,0,Male,SIN,NOT CONTACTLESS,JAKARTA 3,ON US
-1960104063,NOR,C23011701131,0,0,Male,SIN,NOT CONTACTLESS,JAKARTA 3,ON US
-684968800,NOR,SM1000017479,0,0,Female,DIV,NOT CONTACTLESS,SEMARANG,ON US
-2123601995,BCO,HQ1400001778,I,E,Male,SIN,NOT CONTACTLESS,JAKARTA 4,ON US
-262305120,NOR,LF1150825979,B,B,Female,MAR,NOT CONTACTLESS,JAKARTA 4,ON US
-749893388,NOR,LF1165140305,0,0,Male,SIN,NOT CONTACTLESS,BANDUNG,ON US
-959284912,NOR,LF1175019835,B,B,Female,MAR,NOT CONTACTLESS,JAKARTA 4,ON US
